Relativzeit;Datum;Uhrzeit;Ventil P2 CIP auf Auslauf Säure 1 | E     90.2;Ventil P1 CIP auf Einlauf Säure 1 | E     90.0;Ventil P12 CIP auf Auslauf Säure 2 | E     92.4;Ventil P11 CIP auf Einlauf Säure 2 | E     90.4;Ventil P4 CIP auf Auslauf Lauge 1 | E     91.0;Ventil P3 CIP auf Einlauf Lauge 1 | E     90.6;Ventil P13 CIP auf Auslauf Lauge 2 | E     92.6;Ventil P5 CIP auf Einlauf Lauge 2 | E     91.2;Ventil P8 CIP auf Rücklauf | E     80.6;Ventil P9 CIP auf Umlauf | E     80.2;Ventil P10 CIP auf Paneele | E     80.4;Ventil P7 CIP auf Gully | E     80.0;Leitfähigkeit CIP RL | DB   160.DBD   396 [mS];Temperatur Säuretank | DB   160.DBD   392 [grad];Temperatur Laugetank | DB   160.DBD   376;Temperatur CIP VL | DB   160.DBD   400 [grad];Temperatur CIP VL | DB   160.DBD   404 [grad];Niveau Säure 1 | DB   160.DBD   380 [cm];Niveau Säure 2 | DB   160.DBD   384 [cm];Niveau Lauge 1 | DB   160.DBD   364 [cm];Niveau Lauge 2 | DB   160.DBD   368 [cm];Durchfluss CIP Stellwert | DB   160.DBD   420 [%];Durchfluss CIP Ist | DB   160.DBD   416 [l/h]
149733397;11.02.2026;10:41:22.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;2,6E-029;
159733397;11.02.2026;10:41:32.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,5;215,8;;2,7E-038;
169733397;11.02.2026;10:41:42.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;0,0;
179733397;11.02.2026;10:41:52.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
189733397;11.02.2026;10:42:02.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
199733397;11.02.2026;10:42:12.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,6;38,5;211,7;212,7;210,6;215,8;;0,0;
209733397;11.02.2026;10:42:22.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,5;38,5;211,7;212,7;210,6;215,8;;0,0;
219733397;11.02.2026;10:42:32.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;8,2E-014;
229733397;11.02.2026;10:42:42.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,5;38,5;211,7;212,7;210,6;215,8;;1,1E-022;
239733397;11.02.2026;10:42:52.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,1;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;1,1E-031;
249733397;11.02.2026;10:43:02.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,5;38,5;211,7;212,7;210,6;215,8;;0,0;
259733397;11.02.2026;10:43:12.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;0,0;
269733397;11.02.2026;10:43:22.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
279733397;11.02.2026;10:43:32.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;0,0;
289733397;11.02.2026;10:43:42.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;6,4E-017;
299733397;11.02.2026;10:43:52.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,5;38,6;211,7;212,7;210,6;215,8;;9,2E-026;
309733397;11.02.2026;10:44:02.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;9,4E-035;
319733397;11.02.2026;10:44:12.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
329733397;11.02.2026;10:44:22.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,5;211,7;212,7;210,6;215,8;;0,0;
339733397;11.02.2026;10:44:32.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
349733397;11.02.2026;10:44:42.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,1;19,5;38,6;211,7;212,7;210,6;215,8;;0,0;
359733397;11.02.2026;10:44:52.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,1;19,5;38,6;211,7;212,7;210,6;215,8;;0,0;
369733397;11.02.2026;10:45:02.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,1;19,5;38,6;211,7;212,7;210,6;215,8;;0,0;
379733397;11.02.2026;10:45:12.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,1;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
389733397;11.02.2026;10:45:22.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,1;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
399733397;11.02.2026;10:45:32.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,1;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
409733397;11.02.2026;10:45:42.131,4;0;0;0;0;0;0;0;0;0;0;0;1;59,4;63,0;77,2;19,6;38,6;211,7;212,7;210,6;215,8;;0,0;
